Algorithm	Accuracy	Precision	Recall	F-Measure	AUC Score
Random Forests	0.968202594958	0.963273554048	0.965061820313	0.964021766285	0.0646233997229
Naive Bayes	0.831239604813	0.808486559226	0.808107298999	0.807044920247	0.0683240289706
SVM	0.890590852103	0.877002669853	0.879284333389	0.877830444851	0.069546791628
K-NN	0.91325405404	0.898486551184	0.909445492055	0.90262303629	Unavailable
