Static Measure	Naive Bayes	Random Forest	SVM	KNN
Accuracy	0.831239604813	0.968202594958	0.890590852103	0.91325405404
Precision	0.808486559226	0.963273554048	0.877002669853	0.898486551184
Recall	0.808107298999	0.965061820313	0.879284333389	0.909445492055
F-Measure	0.807044920247	0.964021766285	0.877830444851	0.90262303629
AUC	0.0683240289706	0.0646233997229	0.069546791628	Unavailable
