Cluster#	Politics	Business	Football	Film	Technology
Cluster1	0.04200442151805453	0.0036845983787767134	0.0036845983787767134	0.9425202652910832	0.008106116433308769
Cluster2	0.19727520435967302	0.04114441416893733	0.03160762942779292	0.37275204359673025	0.3572207084468665
Cluster3	0.0015837820715869496	0.007918910357934749	0.9445676274944568	0.0031675641431738993	0.04276211593284764
Cluster4	0.0009569377990430622	0.9822966507177033	0.0023923444976076554	0.0019138755980861245	0.012440191387559809
Cluster5	0.9513052208835341	0.0030120481927710845	0.006526104417670682	0.03714859437751004	0.002008032128514056
